airport,airport_iata,country,city,rental_length,start_date,start_time,return_date,return_time,date_offset,deposit_price,drive_away_price,price,currency,product_name,product_id,airbags,aircon,free_cancellation,doors,group,seats,fuel_type,transmission,mileage,supplier_name,supplier_address,supplier_loction_type,average,average_text,cleanliness,condition,dropoff_time,efficiency,location,pickup_time,value_for_money,no_of_ratings,RunDate,setup_prams,tid
Heathrow Airport,LHR,GB,London,2.0,2023-07-25,10:00,2023-07-27,10:00,0.0,75.0,75.0,75.0,GBP,Fiat 500,728723191,1,1,1,4,Mini,5,,Manual,200 miles per rental,Surprice,"Heathrow Airport, 450 Bath Road, London, UK, UB7 0EB",Meet & Greet,5.6,,7.0,7.0,5.5,6.3,4.5,4.0,6.1,210.0,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269268
Heathrow Airport,LHR,GB,London,2.0,2023-07-25,10:00,2023-07-27,10:00,0.0,85.62,85.62,85.62,GBP,Kia Rio,691529366,1,1,1,4,Economy,5,,Manual,200 miles per rental,Green Motion,"239 Sipson Road, Holiday Inn London, London, UK, UB7 0HW",Shuttle Bus,6.9,Good,7.7,7.9,8.6,6.9,5.8,5.6,6.6,4909.0,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269269
Heathrow Airport,LHR,GB,London,2.0,2023-07-25,10:00,2023-07-27,10:00,0.0,95.56,95.56,95.56,GBP,Kia Stonic,691529536,1,1,1,4,Compact,5,,Manual,200 miles per rental,Green Motion,"239 Sipson Road, Holiday Inn London, London, UK, UB7 0HW",Shuttle Bus,6.9,Good,7.7,7.9,8.6,6.9,5.8,5.6,6.6,4909.0,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269270
Heathrow Airport,LHR,GB,London,2.0,2023-07-25,10:00,2023-07-27,10:00,0.0,90.64,90.64,90.64,GBP,Seat Leon,691529351,1,1,1,4,Compact,5,,Manual,200 miles per rental,Green Motion,"239 Sipson Road, Holiday Inn London, London, UK, UB7 0HW",Shuttle Bus,6.9,Good,7.7,7.9,8.6,6.9,5.8,5.6,6.6,4909.0,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269271
Heathrow Airport,LHR,GB,London,2.0,2023-07-25,10:00,2023-07-27,10:00,0.0,109.6,109.6,109.6,GBP,Honda CR-V,691529441,1,1,1,4,Intermediate,5,,Manual,200 miles per rental,Green Motion,"239 Sipson Road, Holiday Inn London, London, UK, UB7 0HW",Shuttle Bus,6.9,Good,7.7,7.9,8.6,6.9,5.8,5.6,6.6,4909.0,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269272
Heathrow Airport,LHR,GB,London,2.0,2023-07-25,10:00,2023-07-27,10:00,0.0,90.62,90.62,90.62,GBP,Volkswagen Golf,728723216,1,1,1,4,Compact,5,,Manual,200 miles per rental,Surprice,"Heathrow Airport, 450 Bath Road, London, UK, UB7 0EB",Meet & Greet,5.6,,7.0,7.0,5.5,6.3,4.5,4.0,6.1,210.0,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269273
Heathrow Airport,LHR,GB,London,2.0,2023-07-25,10:00,2023-07-27,10:00,0.0,112.16,112.16,112.16,GBP,Nissan Qashqai,699298791,1,1,1,4,Intermediate,5,,Manual,400 miles per rental,Keddy By Europcar,"Northern Perimeter Road West, Hounslow, London, UK, TW6 2QE",Shuttle Bus,8.4,Excellent,8.8,8.3,9.6,8.8,8.5,7.6,7.8,2071.0,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269274
Heathrow Airport,LHR,GB,London,2.0,2023-07-25,10:00,2023-07-27,10:00,0.0,114.3,136.02,114.3,GBP,Nissan Qashqai   ,738669556,1,1,1,4,Intermediate,5,,Manual,Unlimited mileage,Europcar,"Northern Perimeter Road West, Hounslow, London, UK, TW6 2QE",Shuttle Bus,8.5,Excellent,8.9,8.7,9.6,8.8,8.9,7.5,7.3,5966.0,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269275
Heathrow Airport,LHR,GB,London,2.0,2023-07-25,10:00,2023-07-27,10:00,0.0,107.91,107.91,107.91,GBP,Ford Mondeo,691529431,1,1,1,5,Standard,5,,Manual,200 miles per rental,Green Motion,"239 Sipson Road, Holiday Inn London, London, UK, UB7 0HW",Shuttle Bus,6.9,Good,7.7,7.9,8.6,6.9,5.8,5.6,6.6,4909.0,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269276
Heathrow Airport,LHR,GB,London,2.0,2023-07-25,10:00,2023-07-27,10:00,0.0,125.64,149.51,125.64,GBP,Kia Sportage,745686606,1,1,1,5,Standard,5,,Manual,Unlimited mileage,Europcar,"Northern Perimeter Road West, Hounslow, London, UK, TW6 2QE",Shuttle Bus,8.5,Excellent,8.9,8.7,9.6,8.8,8.9,7.5,7.3,5966.0,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269277
Heathrow Airport,LHR,GB,London,2.0,2023-07-25,10:00,2023-07-27,10:00,0.0,93.83,93.83,93.83,GBP,Vauxhall Corsa,699254971,1,1,1,4,Economy,5,,Manual,400 miles per rental,Keddy By Europcar,"Northern Perimeter Road West, Hounslow, London, UK, TW6 2QE",Shuttle Bus,8.4,Excellent,8.8,8.3,9.6,8.8,8.5,7.6,7.8,2071.0,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269278
Heathrow Airport,LHR,GB,London,2.0,2023-07-25,10:00,2023-07-27,10:00,0.0,151.68,151.68,151.68,GBP,Nissan Qashqai   ,712385081,1,1,1,4,Intermediate,5,,Manual,Unlimited mileage,Alamo,"Northern Perimeter Road, Hounslow, London, UK, TW6 2RY",Shuttle Bus,8.1,Excellent,8.4,8.2,9.1,8.2,8.1,7.7,7.4,2627.0,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269279
Heathrow Airport,LHR,GB,London,2.0,2023-07-25,10:00,2023-07-27,10:00,0.0,118.3,118.3,118.3,GBP,Polestar 2,740439691,1,1,1,5,Premium,5,,Automatic,600 miles per rental,Hertz,"Northern Perimeter Road, Hounslow, London, UK, TW6 2QD",Shuttle Bus,7.8,Very good,8.8,8.7,8.8,7.6,8.0,6.0,7.4,3146.0,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269280
Heathrow Airport,LHR,GB,London,2.0,2023-07-25,10:00,2023-07-27,10:00,0.0,117.35,139.65,117.35,GBP,Vauxhall Crossland X,738651026,1,1,1,4,Compact,5,,Manual,Unlimited mileage,Europcar,"Northern Perimeter Road West, Hounslow, London, UK, TW6 2QE",Shuttle Bus,8.5,Excellent,8.9,8.7,9.6,8.8,8.9,7.5,7.3,5966.0,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269281
Heathrow Airport,LHR,GB,London,2.0,2023-07-25,10:00,2023-07-27,10:00,0.0,131.98,131.98,131.98,GBP,Peugeot 2008,739391166,1,1,1,4,Compact,5,,Manual,Unlimited mileage,Avis,"London Heathrow Airport T2-3-4, Northrop Road, London, UK, TW6 2QA",Shuttle Bus,8.1,Excellent,8.6,8.1,9.2,8.4,8.1,7.2,7.3,1533.0,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269282
Heathrow Airport,LHR,GB,London,2.0,2023-07-25,10:00,2023-07-27,10:00,0.0,131.98,131.98,131.98,GBP,Vauxhall Crossland X,672007301,1,1,1,4,Compact,5,,Manual,Unlimited mileage,Avis,"London Heathrow Airport T2-3-4, Northrop Road, London, UK, TW6 2QA",Shuttle Bus,8.1,Excellent,8.6,8.1,9.2,8.4,8.1,7.2,7.3,1533.0,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269283
Heathrow Airport,LHR,GB,London,2.0,2023-07-25,10:00,2023-07-27,10:00,0.0,131.98,131.98,131.98,GBP,Peugeot 2008,673966761,1,1,1,4,Compact,5,,Manual,Unlimited mileage,Budget,"London Heathrow Airport T2-3-4, Northrop Road, London, UK, TW6 2QA",Shuttle Bus,8.1,Excellent,8.5,7.9,9.3,8.3,8.3,7.4,7.3,2757.0,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269284
Heathrow Airport,LHR,GB,London,2.0,2023-07-25,10:00,2023-07-27,10:00,0.0,87.5,87.5,87.5,GBP,Ford Fiesta,728723201,1,1,1,4,Economy,5,,Manual,200 miles per rental,Surprice,"Heathrow Airport, 450 Bath Road, London, UK, UB7 0EB",Meet & Greet,5.6,,7.0,7.0,5.5,6.3,4.5,4.0,6.1,210.0,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269285
Heathrow Airport,LHR,GB,London,2.0,2023-07-25,10:00,2023-07-27,10:00,0.0,102.91,102.91,102.91,GBP,Vauxhall Corsa,537142658,1,1,1,2,Economy,4,,Manual,Unlimited mileage,Hertz,"Northern Perimeter Road, Hounslow, London, UK, TW6 2QD",Shuttle Bus,7.8,Very good,8.8,8.7,8.8,7.6,8.0,6.0,7.4,3146.0,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269286
Heathrow Airport,LHR,GB,London,2.0,2023-07-25,10:00,2023-07-27,10:00,0.0,117.01,117.01,117.01,GBP,Ford Focus,712319871,1,1,1,4,Compact,5,,Manual,Unlimited mileage,Alamo,"Northern Perimeter Road, Hounslow, London, UK, TW6 2RY",Shuttle Bus,8.1,Excellent,8.4,8.2,9.1,8.2,8.1,7.7,7.4,2627.0,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269287
